vote_average
6.1
8.0
5.546
6.033
5.4
5.123
5.4
6.0
4.8
6.0
6.0
9.4
6.3
5.1
6.6
6.569
5.466
6.0
7.2
6.898
5.1
6.501
6.479
6.181
4.0
7.5
7.47
6.4
7.2
6.0
6.8
7.49
7.341
7.1
6.092
6.1
7.0
4.9
6.0
8.4
4.8
5.075
7.0
1.667
5.821
6.8
6.971
4.97
10.0
7.1
5.142
6.432
5.0
6.5
6.9
5.694
6.446
6.612
10.0
7.199
7.6
4.0
4.0
3.9
6.102
6.1
10.0
5.473
4.9
8.4
6.2
5.1
4.0
6.843
3.5
4.0
5.9
1.0
5.563
7.0
4.7
4.893
8.0
6.4
6.1
6.7
4.0
6.3
5.0
6.897
8.0
6.6
5.3
8.5
2.745
7.146
5.7
6.1
9.0
7.3
4.238
6.6
5.2
7.709
6.286
6.3
5.4
7.0
5.9
5.9
5.4
3.9
5.9
7.5
7.497
5.778
5.8
6.692
5.401
4.889
7.5
7.9
6.918
5.8
5.1
7.0
6.3
6.2
4.3
5.614
7.3
6.5
4.6
7.393
7.9
7.5
6.178
7.597
6.373
6.5
6.072
5.152
6.849
3.846
5.7
7.3
3.6
5.034
6.1
4.91
5.0
7.5
7.126
6.0
6.333
5.4
6.6
5.628
4.0
7.1
6.083
5.967
5.3
2.6
5.0
6.2
4.86
3.3
5.919
3.857
4.915
6.231
5.625
5.9
5.2
6.2
9.0
3.8
5.726
5.5
1.0
6.837
8.5
6.6
6.558
5.7
6.4
3.979
5.8
6.7
5.0
6.0
7.6
6.213
6.6
6.1
5.6
3.9
6.784
6.0
4.661
5.2
3.659
8.0
6.5
6.2
5.9
2.5
5.258
6.917
6.7
5.2
3.0
5.6
8.0
5.3
6.1
6.38
5.075
3.2
4.9
6.8
7.0
6.0
4.7
7.5
6.2
7.6
6.365
5.323
6.0
8.0
4.1
7.163
9.5
7.591
3.444
7.5
4.7
5.5
6.519
6.5
6.3
5.2
4.0
8.7
6.2
4.767
6.2
7.5
5.7
6.0
5.705
6.3
6.1
7.6
5.581
6.411
3.84
7.142
3.6
4.9
4.5
5.921
6.14
10.0
8.044
6.4
6.879
7.0
5.3
4.444
6.1
3.8
5.2
8.5
7.4
8.038
2.0
1.0
5.1
4.2
7.4
8.6
7.5
5.0
6.5
6.3
5.0
5.819
6.8
4.8
7.667
4.2
6.7
6.0
6.0
6.0
3.2
5.0
5.931
6.071
7.0
6.6
5.3
5.4
6.221
5.7
7.0
5.7
1.857
7.0
6.352
5.9
6.9
10.0
3.67
6.853
6.4
3.0
7.1
6.2
7.0
3.111
6.83
7.7
7.308
6.5
6.2
6.118
5.2
5.6
6.4
7.486
3.4
4.775
6.1
4.768
5.927
6.5
4.508
6.865
4.208
8.0
6.198
5.896
5.8
7.8
6.5
6.5
1.0
8.0
3.0
7.0
5.212
6.733
3.8
5.0
4.5
6.3
5.959
6.679
3.0
6.3
6.9
5.0
7.2
6.0
1.0
5.8
4.0
6.4
3.159
6.1
7.2
5.5
5.8
4.6
7.0
5.699
4.773
6.118
4.5
6.2
5.8
7.2
6.5
3.0
5.5
5.7
6.9
5.9
5.6
6.1
6.3
7.9
3.9
5.932
7.536
7.3
3.0
2.9
7.196
5.2
5.0
6.48
5.313
2.0
4.6
7.8
6.5
10.0
6.6
4.0
6.3
6.355
5.525
6.0
6.912
1.625
7.055
6.129
5.453
6.2
6.3
5.3
7.5
6.3
7.2
5.929
6.506
5.8
4.9
6.2
6.0
5.4
6.3
4.0
4.625
4.782
8.0
4.4
6.8
6.0
7.0
6.077
3.786
5.8
6.4
7.2
5.5
7.241
8.0
6.8
7.057
6.7
7.307
4.821
5.9
2.0
6.0
6.449
2.333
7.469
6.8
5.375
7.4
5.334
5.0
7.573
4.833
4.9
5.679
7.188
6.129
5.836
5.933
7.0
6.055
6.544
5.4
7.261
6.996
9.0
7.2
4.9
5.4
5.5
6.3
7.785
7.107
7.6
7.5
2.6
8.3
8.6
6.619
4.4
6.56
3.229
4.8
7.2
7.284
1.8
7.4
6.8
7.0
7.1
5.278
6.891
7.902
5.8
7.584
5.5
5.6
4.2
7.511
6.0
