roi,profit_margin,popularity,runtime
0.0,-0.9999992088613854,0.6607,90.0
0.0,-0.999980000399992,0.0261,100.0
1.5746214253785746,0.5746224253775746,8.9129,70.0
0.45753186197731305,-0.5424678698031351,5.9637,102.0
0.8088807233988129,-0.19111926189530498,3.1541,135.0
2.127272533884315,1.1272726247933977,3.6471,95.0
2.3999998153846294,1.3999998923077006,3.9161,88.0
16.499917500412497,15.499922500387498,0.9537,194.0
0.0,-0.9999750006249843,0.9371,30.0
1.387726043733854,0.38772611516242034,8.327,94.0
0.0,-0.9999987959509602,6.0097,80.0
0.0,-0.9999998192808459,9.0073,89.0
0.0,-0.9997778271495223,1.3415,8.0
0.29514277281635065,-0.7048569414694453,1.383,90.0
0.9705380022663075,-0.029461920810621475,2.4545,103.0
0.0,-0.9999998745416308,8.4021,110.0
0.023076921301775286,-0.9769230017751537,4.8001,93.0
0.0,-0.99994737119099,2.4907,20.0
0.0029666468890207397,-0.9970266864887567,0.7847,86.0
0.576527996183611,-0.4234719308164003,2.4662,97.0
0.0,-0.9999995643065056,6.785,93.0
0.18129214424943807,-0.8187078424172287,2.2324,95.0
1.1399260572014789,0.13992607720147845,2.5543,132.0
0.8247420783505282,-0.17525785498280966,5.3412,94.0
14.999850001499984,13.999860001399986,1.1121,90.0
0.9459360027031999,-0.05406394729680263,2.6464,116.0
1.588439205780397,0.5884397057801471,4.3827,101.0
1.657578889164276,0.6575789194673055,4.953,124.0
0.0,-0.9999998453668324,4.0033,91.0
0.0,-0.9996667777407531,0.8695,92.0
0.0,-0.9880952380952381,0.7065,80.0
0.009383064278679965,-0.9906168953879941,4.0732,125.0
0.010904346259799884,-0.9890955542924509,4.0236,116.0
0.9105771930889255,-0.08942274441107848,2.451,112.0
0.4925311556149732,-0.5074686957380645,5.466,98.0
20.399986400009066,19.39998706667529,1.5528,93.0
16.715677458255616,15.715678939734904,2.8134,118.0
0.0,-0.9999992307698224,0.9429,100.0
0.0,-0.9999969210590325,0.3772,25.0
4.373360340295997,3.3733603514071073,11.6272,117.0
0.0,-0.9999997566533849,5.2536,98.0
