keyword_tfidf_120,keyword_tfidf_71,director_target_encoded,genre_horror,genre_mystery,language_es,keyword_tfidf_140,popularity,vote_per_popularity,roi,release_year,keyword_tfidf_108,keyword_tfidf_192,collection_id,country_unknown,genre_tv_movie,keyword_tfidf_193,genre_animation,keyword_tfidf_183,genre_comedy,keyword_tfidf_132,certification_US_encoded,revenue_per_runtime,keyword_tfidf_61,language_ru,release_is_weekend,genre_western,country_es,country_gb,country_fi,country_ru,keyword_tfidf_54,keyword_tfidf_17,genre_adventure,budget,language_en,release_day,country_ca,language_hi,revenue,genre_crime,genre_drama,keyword_tfidf_187,keyword_tfidf_67,language_it,language_ja,num_cast,country_fr,company_target_encoded,release_month,country_jp,country_cn,keyword_tfidf_148,language_fr,keyword_tfidf_164,country_be,genre_family,genre_documentary,keyword_tfidf_48,director_count_encoded,keyword_tfidf_153,budget_per_runtime,country_de,genre_action,keyword_tfidf_21,genre_war,budget_revenue_ratio,language_other,country_au,genre_history,country_us,language_pt,keyword_tfidf_31,genre_romance,release_dayofweek,country_in,country_it,genre_unknown,genre_fantasy,keyword_tfidf_146,runtime,genre_music,language_ko,genre_science_fiction,genre_thriller,language_de,num_genres,vote_average
0.0,0.0,12.75296447244625,0,0,0,0.0,1.6831901070207742,340.6393000661595,0.9653582034995396,2001,0.0,0.0,-1.0,0,0,0.0,1,0.0,0,0.0,0.0,0.2400309039940076,0.0,0,0,0,0,0,0,0,0.0,0.0,0,14.508658238524095,1,19,0,0,14.971410455829956,0,1,0.0,0.0,0,0,5,0,11.62798535617057,10,0,0,0.0,0,0.0,0,0,0,0.0,7,0.0,0.2326117744889513,0,0,0.0,0,0.9084143368958424,0,0,0,1,0,0.0,0,4,0,0,0,1,0.0,61.37284535746162,0,0,0,0,0,3,7.47
0.0,0.0,10.70297944831236,0,0,0,0.0,1.0172576096252777,20.82034530423799,0.884095053455373,2019,0.0,0.0,-1.0,0,0,0.0,0,0.0,0,0.0,0.0,0.1942732921627545,0.0,0,0,0,0,0,0,0,0.0,0.0,0,14.914123179965662,0,15,0,0,14.069597583487132,0,1,0.5234255622051771,0.0,0,0,5,0,11.428043090704126,3,0,0,0.0,0,0.0,0,0,0,0.0,2,0.0,0.2059345189299051,0,0,0.0,1,0.9896829094035108,1,0,1,0,0,0.0,0,4,0,0,0,0,0.0,71.42167683914153,0,0,0,0,0,3,5.9
0.0,0.0,10.419503515152858,0,0,0,0.0,2.114832816500104,10.27342457370021,0.6918343253119369,2004,0.0,0.0,-1.0,0,0,0.0,0,0.0,0,0.5174324085335373,4.0,0.1895069115124464,0.0,0,0,0,0,1,0,0,0.0,0.0,0,15.201805169084134,1,14,1,0,11.208964947988772,1,1,0.0,0.0,0,0,5,0,9.199181352964125,5,0,0,0.0,0,0.0,0,0,0,0.0,2,0.0,0.2570127715069704,0,0,0.0,0,1.245134639491973,0,0,0,0,0,0.0,0,4,0,0,0,0,0.0,58.14805353815599,0,0,0,1,0,3,4.375
0.0,0.0,7.331020528299327,0,0,0,0.0,1.8347550996891508,19.402028769974205,0.0,2003,0.0,0.0,-1.0,0,1,0.0,1,0.0,1,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,16.16775220909982,1,9,0,0,0.0,0,0,0.0,0.0,0,0,5,0,7.331020528299327,12,0,0,0.0,0,0.0,0,1,0,0.0,1,0.0,0.4854985477391073,0,0,0.0,0,16.16775220909982,0,0,0,1,0,0.0,0,1,0,0,0,0,0.0,32.30134000274682,0,0,0,0,0,4,5.845
0.0,0.0,10.234521933351504,0,0,0,0.0,1.5004932034447278,0.7998422060274994,1.213713500347129,2019,0.0,0.0,-1.0,0,0,0.0,0,1.0,0,0.0,3.0,0.2635452113377559,0.0,0,0,0,0,0,0,0,0.0,0.0,0,13.353476685668044,1,13,0,0,17.421008430313073,0,1,0.0,0.0,0,0,5,0,5.512183857489996,9,0,0,0.0,0,0.0,0,0,0,0.0,1,0.0,0.2020115453876131,0,0,0.0,0,0.7249047594861285,0,0,0,1,0,0.0,0,4,0,0,0,0,0.0,65.10254210988698,0,0,0,0,0,1,6.0
0.0,0.0,7.331020528299327,0,0,0,0.0,0.6300476236166285,1.8404370256028613,0.0,2017,0.0,0.0,-1.0,0,0,0.0,0,0.0,1,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0.0,0.2553165955337256,0,10.308985993422082,1,1,0,0,0.0,0,1,0.0,0.3434235438081583,0,0,4,0,7.331020528299327,8,0,0,0.0,0,0.0,0,0,0,0.0,1,0.7419889480563848,0.6754831452678979,0,0,0.0,0,10.308985993422082,0,0,0,0,0,0.0,0,1,0,0,0,0,0.0,14.2616480006078,0,0,0,0,0,2,8.3
0.0,0.0,10.353186975771647,1,0,0,0.0,1.1035334929871778,3.327734035772098,1.4491402705359926,2004,0.0,0.0,-1.0,0,0,0.0,0,1.0,0,0.0,0.0,0.309394877941152,0.0,0,0,0,0,0,0,0,0.0,0.0,0,11.51293546492023,1,26,0,0,18.13299868483392,0,0,0.0,0.0,0,0,5,0,5.512183857489996,11,0,0,0.0,0,0.0,0,0,0,0.0,1,0.0,0.1964398346255094,0,1,0.0,0,0.6017318902575446,0,0,0,1,0,0.0,0,4,0,0,0,0,0.0,57.60794724689293,0,0,0,0,0,2,2.571
0.0,0.0,7.331020528299327,0,0,0,0.0,2.2059089807285845,38.05472979219576,0.0,2017,0.0,0.0,-1.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0,15.697885687945648,1,22,0,0,0.0,0,1,0.0,0.0,0,0,5,0,7.331020528299327,1,0,0,0.0,0,0.0,0,0,0,0.0,1,0.0,0.2583427583870833,0,0,0.0,0,15.697885687945648,0,0,0,1,0,0.0,0,6,0,0,0,0,0.0,59.763792203631255,0,0,0,0,0,1,6.0
0.0,0.0,7.331020528299327,0,0,0,0.0,0.3200524524822316,3.7877282759469,0.0,2002,0.0,0.0,-1.0,0,0,0.0,1,1.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,1,12.690924861838113,1,14,0,0,0.0,0,0,0.0,0.0,0,0,4,0,7.331020528299327,8,0,0,0.0,0,0.0,0,0,0,0.0,1,0.0,0.6844227166213944,0,0,0.0,0,12.690924861838113,0,0,0,0,0,0.0,0,2,0,0,0,1,0.0,17.542524310832327,0,0,0,0,0,3,6.0
0.0,0.0,7.331020528299327,1,0,0,0.0,2.057195932732516,1.962582749688932,0.0,2016,0.0,0.0,-1.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,17.216707972959764,1,7,0,0,0.0,0,0,0.0,0.0,0,0,5,0,5.512183857489996,7,0,0,0.0,0,0.0,0,0,0,0.0,1,0.0,0.2360254219004584,0,0,0.0,0,17.216707972959764,0,0,0,1,0,0.0,0,3,0,0,0,0,0.0,71.94429487439176,0,0,0,0,0,1,2.0
